Gene stable ID	Transcript stable ID	Protein stable ID	Gene description	Gene name	NCBI gene ID	Gene type
FBgn0041711	FBtr0082757	FBpp0082225	yellow-e [Source:FlyBase;Acc:FBgn0041711]	yellow-e	41653	protein_coding
FBgn0032283	FBtr0080129	FBpp0079718	CG7296, isoform A [Source:UniProtKB/TrEMBL;Acc:Q8SXV4]	CG7296	34469	protein_coding
FBgn0032283	FBtr0336850	FBpp0307809	CG7296, isoform A [Source:UniProtKB/TrEMBL;Acc:Q8SXV4]	CG7296	34469	protein_coding
FBgn0042110	FBtr0113346	FBpp0112258	IP10846p [Source:UniProtKB/TrEMBL;Acc:Q4V4D1]	CG18765	59149	protein_coding
FBgn0038207	FBtr0082908	FBpp0082369	GEO07809p1 [Source:UniProtKB/TrEMBL;Acc:Q9VFM6]	CG14356	41722	protein_coding
FBgn0037149	FBtr0078480	FBpp0078133	UT01525p [Source:UniProtKB/TrEMBL;Acc:Q9VNW2]	CG14561	40447	protein_coding
FBgn0037149	FBtr0334111	FBpp0306231	UT01525p [Source:UniProtKB/TrEMBL;Acc:Q9VNW2]	CG14561	40447	protein_coding
FBgn0039007	FBtr0084333	FBpp0083726	Crustacean cardioactive peptide [Source:FlyBase;Acc:FBgn0039007]	CCAP	42683	protein_coding
FBgn0039007	FBtr0335007	FBpp0307015	Crustacean cardioactive peptide [Source:FlyBase;Acc:FBgn0039007]	CCAP	42683	protein_coding
FBgn0259849	FBtr0300146	-	Su(Ste):CR42418 [Source:FlyBase;Acc:FBgn0259849]	Su(Ste):CR42418	-	lincRNA
FBgn0267291	FBtr0346576	-	-	CR45727	-	lincRNA
FBgn0086064	FBtr0114340	-	-	snoRNA:Me28S-G3113b	-	snoRNA
FBgn0069913	FBtr0301624	FBpp0072248	CG4681 [Source:UniProtKB/TrEMBL;Acc:Q9W144]	CG4681	37928	protein_coding
FBgn0028707	FBtr0342603	FBpp0309545	Methyltransferase 2 [Source:FlyBase;Acc:FBgn0028707]	Mt2	34632	protein_coding
FBgn0028707	FBtr0110911	FBpp0110211	Methyltransferase 2 [Source:FlyBase;Acc:FBgn0028707]	Mt2	34632	protein_coding
FBgn0085287	FBtr0112452	FBpp0111367	-	CG34258	5740493	protein_coding
FBgn0020644	FBtr0076994	FBpp0076702	Lcp65Ab1 [Source:FlyBase;Acc:FBgn0020644]	Lcp65Ab1	48382	protein_coding
FBgn0020644	FBtr0076994	FBpp0076702	Lcp65Ab1 [Source:FlyBase;Acc:FBgn0020644]	Lcp65Ab1	48381	protein_coding
FBgn0026083	FBtr0305185	FBpp0293715	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0305180	FBpp0293710	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0305179	FBpp0293709	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0305181	FBpp0293711	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0305184	FBpp0293714	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0070643	FBpp0070611	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0345713	FBpp0311757	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0301124	FBpp0290346	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0305182	FBpp0293712	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0305183	FBpp0293713	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0026083	FBtr0300931	FBpp0290153	twenty-four [Source:FlyBase;Acc:FBgn0026083]	tyf	31363	protein_coding
FBgn0023090	FBtr0081516	FBpp0081044	defective transmitter release [Source:FlyBase;Acc:FBgn0023090]	dtr	318856	protein_coding
FBgn0020643	FBtr0076992	FBpp0076701	Lcp65Ab2 [Source:FlyBase;Acc:FBgn0020643]	Lcp65Ab2	48382	protein_coding
