Gene stable ID	Transcript stable ID	Protein stable ID	Gene description	Gene name	NCBI gene (formerly Entrezgene) ID	Gene type
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3771891	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772336	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3771957	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772299	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772058	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772265	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772013	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	326273	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772264	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772276	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772271	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772166	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772099	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772203	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772081	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772083	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772248	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772496	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3771809	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772094	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772104	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772502	protein_coding
FBgn0053882	FBtr0091886	FBpp0091127	-	His2B:CG33882	3772575	protein_coding
FBgn0035648	FBtr0113148	FBpp0112061	-	CG13288	38665	protein_coding
FBgn0035648	FBtr0331563	FBpp0303953	-	CG13288	38665	protein_coding
FBgn0032726	FBtr0342927	FBpp0309710	-	CG10621	35152	protein_coding
FBgn0032726	FBtr0342926	FBpp0309709	-	CG10621	35152	protein_coding
FBgn0032726	FBtr0081191	FBpp0080732	-	CG10621	35152	protein_coding
FBgn0034948	FBtr0072204	FBpp0072113	-	PPP1R15	37820	protein_coding
FBgn0036842	FBtr0075037	FBpp0074804	-	Ugt316A1	40079	protein_coding
FBgn0036842	FBtr0332648	FBpp0304894	-	Ugt316A1	40079	protein_coding
FBgn0029656	FBtr0070536	FBpp0070511	-	CG10793	31308	protein_coding
FBgn0039558	FBtr0085269	FBpp0084638	-	BCAS2	43348	protein_coding
FBgn0025814	FBtr0077243	FBpp0076936	-	Mgstl	44110	protein_coding
FBgn0025814	FBtr0077242	FBpp0076935	-	Mgstl	44110	protein_coding
FBgn0025814	FBtr0345919	FBpp0311834	-	Mgstl	44110	protein_coding
FBgn0035235	FBtr0072826	FBpp0072706	-	CG7879	38184	protein_coding
FBgn0035235	FBtr0072827	FBpp0072707	-	CG7879	38184	protein_coding
FBgn0030509	FBtr0073811	FBpp0073642	-	CG11162	32325	protein_coding
FBgn0011894	FBtr0086188	-	-	tRNA:Lys-CTT-1-8	-	tRNA
FBgn0037022	FBtr0078276	FBpp0077934	-	CG11396	40296	protein_coding
FBgn0046114	FBtr0084336	FBpp0083729	-	Gclm	248194	protein_coding
FBgn0046114	FBtr0334605	FBpp0306672	-	Gclm	248194	protein_coding
FBgn0045474	FBtr0078281	FBpp0077939	-	Gr77a	117476	protein_coding
FBgn0050103	FBtr0086929	FBpp0086085	-	CG30103	36969	protein_coding
FBgn0013323	FBtr0346650	FBpp0312235	-	Ptth	33238	protein_coding
FBgn0013323	FBtr0346726	FBpp0312335	-	Ptth	33238	protein_coding
FBgn0013323	FBtr0333746	FBpp0305888	-	Ptth	33238	protein_coding
FBgn0039495	FBtr0085114	FBpp0084484	-	CG5909	43274	protein_coding
FBgn0267422	FBtr0346749	-	-	CR45775	-	pseudogene
FBgn0023213	FBtr0089243	FBpp0088303	-	eIF4G1	43839	protein_coding
FBgn0023213	FBtr0289951	FBpp0288389	-	eIF4G1	43839	protein_coding
FBgn0023213	FBtr0112904	FBpp0111817	-	eIF4G1	43839	protein_coding
FBgn0022986	FBtr0339537	FBpp0308620	-	qkr58E-1	37561	protein_coding
FBgn0022986	FBtr0071843	FBpp0071754	-	qkr58E-1	37561	protein_coding
FBgn0022986	FBtr0346637	FBpp0312217	-	qkr58E-1	37561	protein_coding
FBgn0035270	FBtr0332881	FBpp0305103	-	CG13933	38227	protein_coding
FBgn0035270	FBtr0072792	FBpp0072675	-	CG13933	38227	protein_coding
FBgn0028369	FBtr0309500	FBpp0301280	-	kirre	31292	protein_coding
FBgn0028369	FBtr0309501	FBpp0301281	-	kirre	31292	protein_coding
FBgn0028369	FBtr0070559	FBpp0070534	-	kirre	31292	protein_coding
FBgn0028369	FBtr0309499	FBpp0301279	-	kirre	31292	protein_coding
FBgn0028369	FBtr0070560	FBpp0070535	-	kirre	31292	protein_coding
FBgn0028369	FBtr0309498	FBpp0301278	-	kirre	31292	protein_coding
FBgn0028369	FBtr0332492	FBpp0304768	-	kirre	31292	protein_coding
FBgn0267348	FBtr0076382	FBpp0076111	-	LanB2	39118	protein_coding
FBgn0267348	FBtr0345031	FBpp0311281	-	LanB2	39118	protein_coding
FBgn0267892	FBtr0347452	-	-	CR46180	-	pseudogene
FBgn0263582	FBtr0309807	-	-	lncRNA:CR43607	-	ncRNA
FBgn0263582	FBtr0309808	-	-	lncRNA:CR43607	-	ncRNA
FBgn0010407	FBtr0079978	FBpp0079568	-	Ror	34367	protein_coding
FBgn0038078	FBtr0082663	FBpp0082132	-	CG14391	41567	protein_coding
FBgn0038099	FBtr0300278	FBpp0289506	-	CG7091	41590	protein_coding
FBgn0053260	FBtr0302436	FBpp0291628	-	CG33260	2768977	protein_coding
FBgn0037338	FBtr0078688	FBpp0078337	-	Snm1	40669	protein_coding
FBgn0037299	FBtr0305002	FBpp0293539	-	Vps37B	40624	protein_coding
FBgn0037299	FBtr0305001	FBpp0293538	-	Vps37B	40624	protein_coding
FBgn0037299	FBtr0078777	FBpp0078424	-	Vps37B	40624	protein_coding
FBgn0086605	FBtr0078949	FBpp0078589	-	CG9853	40557	protein_coding
FBgn0086605	FBtr0344215	FBpp0310621	-	CG9853	40557	protein_coding
FBgn0086605	FBtr0113192	FBpp0112104	-	CG9853	40557	protein_coding
FBgn0085213	FBtr0112377	FBpp0111292	-	CG34184	5740423	protein_coding
FBgn0263606	FBtr0112440	FBpp0111355	-	Hsc20	5740624	protein_coding
FBgn0260224	FBtr0300624	FBpp0289851	-	CG42498	8674046	protein_coding
FBgn0020258	FBtr0080638	FBpp0080210	-	ppk	34843	protein_coding
FBgn0262616	FBtr0305347	-	-	CR43142	-	pseudogene
FBgn0033981	FBtr0087456	FBpp0086586	-	Cyp6a21	36665	protein_coding
FBgn0267541	FBtr0346935	-	-	lncRNA:CR45881	-	ncRNA
FBgn0026086	FBtr0339274	FBpp0308383	-	Adar	31130	protein_coding
FBgn0026086	FBtr0070300	FBpp0070287	-	Adar	31130	protein_coding
FBgn0026086	FBtr0309965	FBpp0301692	-	Adar	31130	protein_coding
FBgn0026086	FBtr0339272	FBpp0308381	-	Adar	31130	protein_coding
FBgn0026086	FBtr0339273	FBpp0308382	-	Adar	31130	protein_coding
FBgn0026086	FBtr0305499	FBpp0293951	-	Adar	31130	protein_coding
FBgn0026086	FBtr0309963	FBpp0301690	-	Adar	31130	protein_coding
FBgn0026086	FBtr0307895	FBpp0300329	-	Adar	31130	protein_coding
FBgn0026086	FBtr0070299	FBpp0070286	-	Adar	31130	protein_coding
FBgn0026086	FBtr0309961	FBpp0301688	-	Adar	31130	protein_coding
FBgn0026086	FBtr0100557	FBpp0100009	-	Adar	31130	protein_coding
FBgn0026086	FBtr0305498	FBpp0293950	-	Adar	31130	protein_coding
FBgn0026086	FBtr0305497	FBpp0293949	-	Adar	31130	protein_coding
FBgn0026086	FBtr0309962	FBpp0301689	-	Adar	31130	protein_coding
FBgn0030244	FBtr0339835	FBpp0308867	-	CG2157	32018	protein_coding
FBgn0030244	FBtr0073382	FBpp0073238	-	CG2157	32018	protein_coding
FBgn0039544	FBtr0100446	FBpp0099868	-	CG12877	43333	protein_coding
FBgn0265817	FBtr0342649	-	-	lncRNA:CR44606	-	ncRNA
FBgn0029885	FBtr0070992	FBpp0070952	-	CG3224	31600	protein_coding
FBgn0041723	FBtr0089855	FBpp0088796	-	rho-5	2768944	protein_coding
FBgn0266224	FBtr0343886	-	-	lncRNA:CR44919	-	ncRNA
FBgn0032066	FBtr0340230	FBpp0309205	-	LManIII	34203	protein_coding
FBgn0032066	FBtr0079744	FBpp0079346	-	LManIII	34203	protein_coding
FBgn0022709	FBtr0076017	FBpp0075749	-	Adk1	39396	protein_coding
FBgn0022709	FBtr0076018	FBpp0075750	-	Adk1	39396	protein_coding
FBgn0267450	FBtr0346803	-	-	asRNA:CR45800	-	ncRNA
FBgn0011890	FBtr0086007	-	-	tRNA:Lys-CTT-1-5	-	tRNA
FBgn0037676	FBtr0301210	FBpp0290428	-	CG8861	41109	protein_coding
FBgn0037676	FBtr0300335	FBpp0289564	-	CG8861	41109	protein_coding
FBgn0050291	FBtr0071549	FBpp0071478	-	CG30291	246534	protein_coding
FBgn0039659	FBtr0334875	FBpp0306898	-	CG14506	43467	protein_coding
FBgn0039659	FBtr0334874	FBpp0306897	-	CG14506	43467	protein_coding
FBgn0265748	FBtr0340711	-	-	lncRNA:CR44555	-	ncRNA
FBgn0033426	FBtr0088523	FBpp0087606	-	CG1814	35984	protein_coding
FBgn0033426	FBtr0088522	FBpp0087605	-	CG1814	35984	protein_coding
FBgn0033426	FBtr0088521	FBpp0087604	-	CG1814	35984	protein_coding
FBgn0260743	FBtr0334153	FBpp0306270	-	GC1	41448	protein_coding
FBgn0260743	FBtr0082484	FBpp0081958	-	GC1	41448	protein_coding
FBgn0264543	FBtr0333243	FBpp0305444	-	CG43922	14462712	protein_coding
FBgn0032276	FBtr0080103	FBpp0079692	-	CG17098	34462	protein_coding
FBgn0022710	FBtr0100142	FBpp0099492	-	Ac13E	32485	protein_coding
FBgn0022710	FBtr0332497	FBpp0304773	-	Ac13E	32485	protein_coding
FBgn0022710	FBtr0074073	FBpp0073889	-	Ac13E	32485	protein_coding
FBgn0003575	FBtr0340082	FBpp0309081	-	su(sable)	31012	protein_coding
FBgn0003575	FBtr0340081	FBpp0309080	-	su(sable)	31012	protein_coding
FBgn0003575	FBtr0070120	FBpp0070115	-	su(sable)	31012	protein_coding
FBgn0013718	FBtr0100039	FBpp0075475	-	nuf	39572	protein_coding
FBgn0013718	FBtr0306622	FBpp0297577	-	nuf	39572	protein_coding
FBgn0013718	FBtr0306619	FBpp0297574	-	nuf	39572	protein_coding
FBgn0013718	FBtr0306624	FBpp0297579	-	nuf	39572	protein_coding
